時間戳記,Index,Learning_Rate,Batch_Size,Dropout_Config_ID,Dropout_Values,Accuracy,訓練耗時(秒),平台
2025-12-19 21:27:19,174,8e-05,48,3,"[0.45, 0.4, 0.35, 0.3]",0.823529,101.75,Windows-AMD64
2025-12-19 21:29:10,175,8e-05,48,4,"[0.5, 0.45, 0.4, 0.35]",0.822161,109.91,Windows-AMD64
2025-12-19 21:31:56,176,8e-05,48,5,"[0.55, 0.5, 0.45, 0.4]",0.830369,166.62,Windows-AMD64
2025-12-19 21:34:00,177,8e-05,48,6,"[0.4, 0.4, 0.4, 0.4]",0.835841,123.13,Windows-AMD64
2025-12-19 21:35:29,178,8e-05,48,7,"[0.3, 0.3, 0.3, 0.3]",0.822845,89.21,Windows-AMD64
2025-12-19 21:36:59,179,8e-05,48,8,"[0.5, 0.3, 0.3, 0.1]",0.822845,89.22,Windows-AMD64
2025-12-19 21:38:35,180,8e-05,48,9,"[0.2, 0.3, 0.4, 0.5]",0.826265,96.48,Windows-AMD64
2025-12-19 21:42:35,181,0.0001,16,0,"[0.3, 0.25, 0.2, 0.15]",0.831737,239.66,Windows-AMD64
2025-12-19 21:46:20,182,0.0001,16,1,"[0.35, 0.3, 0.25, 0.2]",0.818741,224.23,Windows-AMD64
2025-12-19 21:51:37,183,0.0001,16,2,"[0.4, 0.35, 0.3, 0.25]",0.833789,316.74,Windows-AMD64
2025-12-19 21:56:53,184,0.0001,16,3,"[0.45, 0.4, 0.35, 0.3]",0.835841,315.82,Windows-AMD64
2025-12-19 22:02:25,185,0.0001,16,4,"[0.5, 0.45, 0.4, 0.35]",0.836525,332.04,Windows-AMD64
2025-12-19 22:08:53,186,0.0001,16,5,"[0.55, 0.5, 0.45, 0.4]",0.838577,388.26,Windows-AMD64
2025-12-19 22:14:03,187,0.0001,16,6,"[0.4, 0.4, 0.4, 0.4]",0.839261,308.80,Windows-AMD64
2025-12-19 22:17:33,188,0.0001,16,7,"[0.3, 0.3, 0.3, 0.3]",0.821477,209.97,Windows-AMD64
2025-12-19 22:22:48,189,0.0001,16,8,"[0.5, 0.3, 0.3, 0.1]",0.835157,315.33,Windows-AMD64
2025-12-19 22:26:07,190,0.0001,16,9,"[0.2, 0.3, 0.4, 0.5]",0.816689,198.68,Windows-AMD64
2025-12-19 22:29:28,191,0.0001,18,0,"[0.3, 0.25, 0.2, 0.15]",0.835841,200.16,Windows-AMD64
2025-12-19 22:32:44,192,0.0001,18,1,"[0.35, 0.3, 0.25, 0.2]",0.838577,195.80,Windows-AMD64
2025-12-19 22:37:09,193,0.0001,18,2,"[0.4, 0.35, 0.3, 0.25]",0.848837,265.28,Windows-AMD64
2025-12-19 23:57:43,194,0.0001,18,3,"[0.45, 0.4, 0.35, 0.3]",0.836525,267.20,Windows-AMD64
2025-12-20 00:02:24,195,0.0001,18,4,"[0.5, 0.45, 0.4, 0.35]",0.824213,281.31,Windows-AMD64
2025-12-20 00:08:46,196,0.0001,18,5,"[0.55, 0.5, 0.45, 0.4]",0.840629,381.48,Windows-AMD64
2025-12-20 00:13:11,197,0.0001,18,6,"[0.4, 0.4, 0.4, 0.4]",0.837893,264.14,Windows-AMD64
